LastName, FirstName, Major, GPA,
Smith, John, Mathematics, 3.75
Johnson, Emily, Biology, 2.91
Davis, Michael, Computer Science, 3.12
Martinez, Sophia, Psychology, 3.59
Brown, Olivia, English, 3.93
Taylor, Liam, History, 3.25
Anderson, Emma, Chemistry, 3.87
Thomas, Noah, Physics, 3.45
Garcia, Ava, Sociology, 2.76
Hernandez, Isabella, Economics, 3.81
Wilson, James, Political Science, 3.18
Lewis, Mia, Fine Arts, 3.67
Walker, Benjamin, Engineering, 3.92
Hall, Charlotte, Nursing, 3.04
Scott, Elijah, Business Administration, 3.26
Green, Amelia, Computer Engineering, 3.79
Adams, Daniel, Linguistics, 3.35
Baker, Abigail, Anthropology, 2.93
King, Alexander, Mathematics, 3.14
Murphy, Harper, Biology, 3.89
Powell, Samuel, Computer Science, 3.71
Reed, Elizabeth, Psychology, 2.88
Cooper, David, English, 3.45
Long, Victoria, History, 3.98
Rogers, Joseph, Chemistry, 3.63
Sanders, Lily, Physics, 3.21
Bell, Christopher, Sociology, 3.76
Coleman, Andrew, Economics, 2.98
Morris, Sofia, Political Science, 3.54
Peterson, Max, Fine Arts, 3.87
Rivera, Emily, Engineering, 3.09
Collins, Ethan, Nursing, 3.32
Kelly, Ava, Business Administration, 3.69
Hayes, Michael, Computer Engineering, 3.95
Bennett, Scarlett, Linguistics, 3.39
Russell, James, Anthropology, 3.02
Griffin, Evelyn, Mathematics, 3.56
Murphy, William, Biology, 3.84
Henderson, Aria, Computer Science, 3.17
Anderson, Alexander, Psychology, 3.73
Adams, Penelope, English, 2.99
Martinez, Joseph, History, 3.23
Moore, Victoria, Chemistry, 3.67
Scott, Mateo, Physics, 3.45
Walker, Zoe, Sociology, 3.78
Cook, Harper, Economics, 3.11
Perez, Aiden, Political Science, 3.49
Jenkins, Scarlett, Fine Arts, 3.92
Bennett, Isaac, Engineering, 3.04
Sanders, Amelia, Nursing, 3.25
Wright, Alexander, Business Administration, 3.79
Coleman, Grace, Computer Engineering, 3.36
Mitchell, Samuel, Linguistics, 3.09
Hughes, Lillian, Anthropology, 2.85
Parker, Daniel, Mathematics, 3.57
James, Violet, Biology, 3.88
Morris, Samuel, Computer Science, 3.31
Collins, Zoey, Psychology, 3.72
Hayes, Gabriel, English, 2.78
Griffin, Lily, History, 3.25
Young, Joseph, Chemistry, 3.66
King, Leah, Physics, 3.43
Turner, Gabriel, Sociology, 3.77
Lewis, Grace, Economics, 3.22
Thompson, Liam, Political Science, 3.46
Peterson, Penelope, Fine Arts, 3.91
Davis, Daniel, Engineering, 3.06
Carter, Emma, Nursing, 3.29
Powell, Alexander, Business Administration, 3.68
Ward, Ava, Computer Engineering, 3.95
Reed, Samuel, Linguistics, 3.37
Roberts, Nora, Anthropology, 2.97
Wright, Lucas, Mathematics, 3.54
Perez, Harper, Biology, 3.86
Parker, Olivia, Computer Science, 3.29
Collins, Ethan, Psychology, 3.72
Watson, Mia, English, 2.83
Nelson, James, History, 3.34
Hayes, Sofia, Chemistry, 3.63
Adams, Noah, Physics, 3.39
Bailey, Emily, Sociology, 3.79
Rivera, William, Economics, 3.17
Sanders, Isabella, Political Science, 3.52
Torres, David, Fine Arts, 3.89
Wilson, Scarlett, Engineering, 3.03
Watson, Amelia, Nursing, 3.21
Murphy, Benjamin, Business Administration, 3.68
Johnson, Evelyn, Computer Engineering, 3.97
Morgan, Ethan, Linguistics, 3.45
Collins, Ava, Anthropology, 2.92
Baker, Samuel, Mathematics, 3.51
Parker, Mia, Biology, 3.85
Peterson, Alexander, Computer Science, 3.27
Thompson, Grace, Psychology, 3.69
Mitchell, Noah, English, 2.76
Jenkins, Lily, History, 3.34
Nelson, Alexander, Chemistry, 3.67
Moore, Violet, Physics, 3.37
Carter, Emma, Sociology, 3.75
Hayes, Lucas, Economics, 3.12
Sanders, Sophia, Political Science, 3.56
Turner, Daniel, Fine Arts, 3.88
Russell, Leah, Engineering, 3.07
